Disease,Severity,Weight,Age,Breed,Temperature,Previous_Disease,Treatment,Feed_Adjustment_Percent
Pediculosis,1,360.6,35,AFS,39.5,Lumpy Skin,Antiparasitic + Monitoring,-8.9
Healthy,0,414.4,74,AFS,38.3,None,No Treatment Required,0.0
Lumpy Skin,1,546.4,42,AFS,39.7,None,Antibiotics + Isolation,-15.5
Mastitis,0,436.8,29,AFS,38.7,None,Anti-inflammatory + Rest,-4.8
Pediculosis,2,536.6,56,AFS,40.1,None,Antiparasitic + Monitoring,-12.0
Pediculosis,0,432.0,89,AFS,38.9,Dermatophilosis,Antiparasitic + Monitoring,-2.2
Lumpy Skin,0,422.4,61,AFS,38.6,Dermatophilosis,Topical Treatment + Monitoring,-4.7
Mastitis,0,453.6,62,AFS,39.0,None,Anti-inflammatory + Rest,-6.3
FMD,0,442.3,95,AFS,38.9,None,Supportive Care Only,-5.1
Mastitis,1,360.0,50,AFS,39.4,None,Anti-inflammatory + Rest,-11.1
Mastitis,0,395.0,71,AFS,38.7,Pediculosis,Anti-inflammatory + Rest,-6.1
Lumpy Skin,0,361.4,41,AFS,38.5,None,Topical Treatment + Monitoring,-5.9
Mastitis,0,404.4,65,AFS,38.7,Lumpy Skin,Anti-inflammatory + Rest,-6.9
Contagious,1,356.7,95,AFS,39.5,None,Antibiotics + Isolation,-14.6
Dermatophilosis,1,419.5,26,AFS,39.0,Contagious,Antibiotics + Isolation,-10.1
Pediculosis,2,428.7,37,AFS,40.5,None,Antiparasitic + Monitoring,-11.1
Dermatophilosis,2,379.0,48,AFS,40.8,None,Antibiotics + Isolation,-16.1
Ringworm,2,386.6,44,AFS,40.1,None,Antifungal + Topical Care,-11.0
Pediculosis,1,459.0,35,AFS,39.1,Mastitis,Antiparasitic + Monitoring,-7.1
Contagious,1,459.8,81,AFS,39.2,Lumpy Skin,Antibiotics + Isolation,-14.3
Lumpy Skin,2,520.0,77,AFS,40.0,Mastitis,Antiviral + Quarantine,-23.2
Pediculosis,1,362.5,51,AFS,39.1,None,Antiparasitic + Monitoring,-6.1
FMD,1,390.3,18,AFS,39.7,None,Antibiotics + Isolation,-14.0
Healthy,0,453.9,90,AFS,38.7,Mastitis,No Treatment Required,0.0
FMD,2,462.0,39,AFS,41.1,None,Antiviral + Quarantine,-26.7
Mastitis,0,406.5,53,AFS,38.7,None,Anti-inflammatory + Rest,-5.4
Contagious,0,368.7,80,AFS,39.0,None,Antibiotics + Isolation,-7.9
Ringworm,0,501.5,83,AFS,38.9,None,Topical Treatment + Monitoring,-1.3
Ringworm,1,439.5,81,AFS,39.6,None,Topical Treatment + Monitoring,-6.6
FMD,2,383.8,44,AFS,40.8,None,Antiviral + Quarantine,-25.5
Ringworm,1,380.4,15,AFS,39.6,Ringworm,Topical Treatment + Monitoring,-6.6
Contagious,2,451.0,27,AFS,41.5,None,Antibiotics + Isolation,-23.5
Mastitis,1,383.2,70,AFS,39.1,None,Anti-inflammatory + Rest,-11.8
Contagious,0,514.6,37,AFS,38.5,Dermatophilosis,Antibiotics + Isolation,-9.3
Lumpy Skin,0,533.6,17,AFS,38.9,None,Topical Treatment + Monitoring,-5.1
Pediculosis,1,412.8,14,AFS,39.7,None,Antiparasitic + Monitoring,-9.0
Healthy,0,515.2,73,AFS,38.7,None,No Treatment Required,0.0
Dermatophilosis,0,440.1,69,AFS,38.8,None,Topical Treatment + Monitoring,-4.7
Contagious,2,444.3,26,AFS,40.2,None,Antibiotics + Isolation,-21.0
Dermatophilosis,0,487.3,39,AFS,38.8,None,Topical Treatment + Monitoring,-4.4
Contagious,2,405.9,74,AFS,40.4,Mastitis,Antibiotics + Isolation,-23.1
Pediculosis,0,356.6,64,AFS,38.8,Pediculosis,Antiparasitic + Monitoring,-2.5
Pediculosis,2,361.8,90,AFS,40.2,Pediculosis,Antiparasitic + Monitoring,-11.3
Pediculosis,0,428.0,57,AFS,38.7,Mastitis,Antiparasitic + Monitoring,-3.8
FMD,1,510.5,95,AFS,39.0,None,Antibiotics + Isolation,-16.9
Mastitis,0,521.7,94,AFS,39.0,Lumpy Skin,Anti-inflammatory + Rest,-5.2
Healthy,0,353.6,82,AFS,38.6,None,No Treatment Required,0.0
Healthy,0,515.9,30,AFS,38.7,None,No Treatment Required,0.0
Mastitis,0,363.7,92,AFS,38.6,None,Anti-inflammatory + Rest,-6.1
Contagious,2,364.8,70,AFS,41.0,None,Antibiotics + Isolation,-23.7
Healthy,0,520.5,52,AFS,38.8,None,No Treatment Required,0.0
Ringworm,0,508.9,41,AFS,38.7,None,Topical Treatment + Monitoring,-1.8
Lumpy Skin,1,362.7,31,AFS,39.2,None,Antibiotics + Isolation,-14.0
Contagious,2,483.8,92,AFS,39.9,Ringworm,Antibiotics + Isolation,-23.9
Pediculosis,1,413.4,87,AFS,39.4,None,Antiparasitic + Monitoring,-8.6
Healthy,0,438.7,32,AFS,38.6,None,No Treatment Required,0.0
Lumpy Skin,1,485.3,39,AFS,39.2,FMD,Antibiotics + Isolation,-13.1
Healthy,0,540.1,45,AFS,38.5,Ringworm,No Treatment Required,0.0
Ringworm,1,364.2,36,AFS,39.0,None,Topical Treatment + Monitoring,-7.6
FMD,0,405.4,76,AFS,38.7,None,Supportive Care Only,-4.5
Mastitis,1,406.1,67,AFS,39.5,None,Anti-inflammatory + Rest,-10.6
Contagious,0,357.3,50,AFS,38.9,None,Antibiotics + Isolation,-7.9
FMD,0,405.6,48,AFS,38.6,Lumpy Skin,Supportive Care Only,-4.9
FMD,1,524.8,24,AFS,39.5,None,Antibiotics + Isolation,-15.2
Pediculosis,0,428.9,30,AFS,38.7,Pediculosis,Antiparasitic + Monitoring,-3.1
Healthy,0,484.9,44,AFS,38.7,Ringworm,No Treatment Required,0.0
Dermatophilosis,1,522.6,57,AFS,39.0,None,Antibiotics + Isolation,-13.8
Pediculosis,2,401.3,79,AFS,40.5,None,Antiparasitic + Monitoring,-12.5
FMD,1,459.9,87,AFS,39.1,None,Antibiotics + Isolation,-13.2
Pediculosis,1,479.3,62,AFS,39.5,None,Antiparasitic + Monitoring,-7.5
Mastitis,0,380.9,14,AFS,38.9,None,Anti-inflammatory + Rest,-4.4
Mastitis,2,548.3,13,AFS,39.8,None,Antibiotics + Isolation,-20.8
Contagious,0,429.9,73,AFS,38.8,None,Antibiotics + Isolation,-7.1
Contagious,0,427.5,29,AFS,38.7,None,Antibiotics + Isolation,-7.8
Mastitis,1,439.3,43,AFS,39.7,Mastitis,Anti-inflammatory + Rest,-10.3
Pediculosis,0,527.9,43,AFS,38.7,None,Antiparasitic + Monitoring,-3.2
Contagious,1,452.3,39,AFS,39.3,None,Antibiotics + Isolation,-12.4
Contagious,2,418.0,85,AFS,40.9,None,Antibiotics + Isolation,-22.6
Pediculosis,1,469.2,49,AFS,39.7,None,Antiparasitic + Monitoring,-6.6
Ringworm,2,440.8,15,AFS,40.1,Ringworm,Antifungal + Topical Care,-11.1
Ringworm,1,542.8,15,AFS,39.1,None,Topical Treatment + Monitoring,-6.3
FMD,0,354.7,70,AFS,38.6,None,Supportive Care Only,-6.5
Dermatophilosis,0,541.2,46,AFS,38.9,None,Topical Treatment + Monitoring,-3.7
Contagious,0,471.4,28,AFS,38.7,None,Antibiotics + Isolation,-7.8
Lumpy Skin,1,456.5,64,AFS,39.7,None,Antibiotics + Isolation,-15.8
Ringworm,1,385.4,57,AFS,39.5,None,Topical Treatment + Monitoring,-6.7
Healthy,0,419.5,74,AFS,38.4,None,No Treatment Required,0.0
Pediculosis,2,391.5,28,AFS,41.0,None,Antiparasitic + Monitoring,-12.7
Ringworm,1,390.3,19,AFS,39.0,None,Topical Treatment + Monitoring,-7.8
FMD,0,468.6,22,AFS,38.7,None,Supportive Care Only,-6.8
Mastitis,1,375.0,92,AFS,39.5,None,Anti-inflammatory + Rest,-13.9
Mastitis,0,442.5,59,AFS,38.5,FMD,Anti-inflammatory + Rest,-6.0
Pediculosis,0,407.2,44,AFS,38.8,None,Antiparasitic + Monitoring,-3.6
Ringworm,1,465.5,62,AFS,39.7,None,Topical Treatment + Monitoring,-8.2
Pediculosis,1,464.7,46,AFS,39.2,None,Antiparasitic + Monitoring,-6.6
Contagious,1,409.7,83,AFS,39.0,Mastitis,Antibiotics + Isolation,-14.2
Lumpy Skin,2,394.1,91,AFS,41.1,Pediculosis,Antiviral + Quarantine,-24.9
FMD,1,376.9,32,AFS,39.3,Lumpy Skin,Antibiotics + Isolation,-15.9
Ringworm,1,508.7,46,AFS,39.8,Contagious,Topical Treatment + Monitoring,-6.7
Pediculosis,0,358.8,47,AFS,38.9,Dermatophilosis,Antiparasitic + Monitoring,-5.4
Ringworm,2,514.4,84,AFS,41.1,Lumpy Skin,Antifungal + Topical Care,-9.5
Ringworm,0,494.6,89,AFS,38.7,None,Topical Treatment + Monitoring,-4.7
FMD,1,476.4,88,AFS,39.8,None,Antibiotics + Isolation,-13.2
FMD,2,486.3,28,AFS,40.7,FMD,Antiviral + Quarantine,-24.2
Healthy,0,379.0,24,AFS,38.6,None,No Treatment Required,0.0
Dermatophilosis,0,510.7,89,AFS,38.6,None,Topical Treatment + Monitoring,-6.9
Pediculosis,1,395.2,41,AFS,39.8,None,Antiparasitic + Monitoring,-8.6
Contagious,1,387.6,66,AFS,39.4,None,Antibiotics + Isolation,-13.7
Ringworm,1,477.4,25,AFS,39.4,None,Topical Treatment + Monitoring,-8.8
Pediculosis,1,454.0,88,AFS,39.7,Dermatophilosis,Antiparasitic + Monitoring,-8.4
Pediculosis,0,376.8,86,AFS,38.6,None,Antiparasitic + Monitoring,-5.6
Contagious,1,359.4,49,AFS,39.7,None,Antibiotics + Isolation,-14.1
Mastitis,0,498.2,40,AFS,39.0,Lumpy Skin,Anti-inflammatory + Rest,-7.5
Contagious,2,412.7,93,AFS,41.3,None,Antibiotics + Isolation,-20.4
Ringworm,2,485.0,28,AFS,41.0,None,Antifungal + Topical Care,-10.4
FMD,2,485.2,58,AFS,40.1,Dermatophilosis,Antiviral + Quarantine,-24.3
Contagious,0,375.9,79,AFS,38.9,None,Antibiotics + Isolation,-9.6
FMD,1,549.9,28,AFS,39.3,Ringworm,Antibiotics + Isolation,-15.0
Contagious,1,372.2,89,AFS,39.6,None,Antibiotics + Isolation,-12.6
Lumpy Skin,1,514.4,42,AFS,39.6,None,Antibiotics + Isolation,-13.5
Mastitis,2,393.1,56,AFS,39.9,None,Antibiotics + Isolation,-18.3
Healthy,0,497.7,39,AFS,38.8,None,No Treatment Required,0.0
Healthy,0,492.6,65,AFS,38.6,None,No Treatment Required,0.0
FMD,0,361.6,65,AFS,38.8,None,Supportive Care Only,-3.7
Mastitis,0,532.2,13,AFS,38.5,None,Anti-inflammatory + Rest,-6.3
Contagious,1,416.0,23,AFS,39.5,None,Antibiotics + Isolation,-14.1
Healthy,0,358.3,76,AFS,38.5,FMD,No Treatment Required,0.0
Pediculosis,0,376.3,87,AFS,38.6,None,Antiparasitic + Monitoring,-2.9
Mastitis,0,386.3,18,AFS,38.5,None,Anti-inflammatory + Rest,-4.9
Dermatophilosis,0,478.4,23,AFS,38.5,None,Topical Treatment + Monitoring,-4.4
Pediculosis,2,485.1,43,AFS,41.3,FMD,Antiparasitic + Monitoring,-10.9
Ringworm,0,380.5,78,AFS,38.9,Pediculosis,Topical Treatment + Monitoring,-2.6
Lumpy Skin,1,444.8,15,AFS,39.8,Pediculosis,Antibiotics + Isolation,-13.9
Ringworm,1,478.9,43,AFS,39.1,None,Topical Treatment + Monitoring,-9.1
Healthy,0,473.9,68,AFS,38.6,FMD,No Treatment Required,0.0
Lumpy Skin,0,546.3,83,AFS,38.8,None,Topical Treatment + Monitoring,-4.3
FMD,2,539.5,65,AFS,40.6,Mastitis,Antiviral + Quarantine,-24.2
Dermatophilosis,1,536.1,95,AFS,39.5,None,Antibiotics + Isolation,-13.5
Dermatophilosis,0,502.2,72,AFS,39.0,Ringworm,Topical Treatment + Monitoring,-4.5
Mastitis,2,441.9,85,AFS,40.1,None,Antibiotics + Isolation,-19.8
Mastitis,1,391.8,44,AFS,39.1,Ringworm,Anti-inflammatory + Rest,-11.9
Pediculosis,0,542.1,27,AFS,38.8,None,Antiparasitic + Monitoring,-4.4
FMD,2,463.9,22,AFS,40.6,Pediculosis,Antiviral + Quarantine,-26.3
Mastitis,1,546.2,15,AFS,39.7,Dermatophilosis,Anti-inflammatory + Rest,-12.6
Contagious,2,454.3,77,AFS,41.4,None,Antibiotics + Isolation,-20.6
Mastitis,1,399.5,76,AFS,39.4,FMD,Anti-inflammatory + Rest,-10.2
Dermatophilosis,1,449.8,20,AFS,39.7,FMD,Antibiotics + Isolation,-12.5
Healthy,0,395.7,54,AFS,38.3,Lumpy Skin,No Treatment Required,0.0
Ringworm,2,495.8,33,AFS,40.5,None,Antifungal + Topical Care,-10.1
Lumpy Skin,0,530.3,65,AFS,38.7,Pediculosis,Topical Treatment + Monitoring,-3.0
Ringworm,1,446.3,78,AFS,39.3,FMD,Topical Treatment + Monitoring,-6.3
Contagious,1,405.1,28,AFS,39.6,None,Antibiotics + Isolation,-13.7
FMD,1,519.5,12,AFS,39.2,Pediculosis,Antibiotics + Isolation,-16.6
Dermatophilosis,2,500.4,16,AFS,39.9,None,Antibiotics + Isolation,-16.5
Lumpy Skin,0,436.3,22,AFS,38.8,None,Topical Treatment + Monitoring,-5.7
FMD,0,420.6,58,AFS,39.0,Lumpy Skin,Supportive Care Only,-5.4
Mastitis,1,445.3,26,AFS,39.4,None,Anti-inflammatory + Rest,-13.0
Ringworm,0,521.0,39,AFS,38.8,None,Topical Treatment + Monitoring,-3.8
FMD,1,431.9,35,AFS,39.7,None,Antibiotics + Isolation,-14.1
Lumpy Skin,1,480.9,78,AFS,39.4,None,Antibiotics + Isolation,-16.8
Healthy,0,435.0,80,AFS,38.5,None,No Treatment Required,0.0
Contagious,0,433.3,65,AFS,38.7,Dermatophilosis,Antibiotics + Isolation,-9.2
Pediculosis,0,410.8,14,AFS,38.9,None,Antiparasitic + Monitoring,-5.2
Healthy,0,394.9,47,AFS,38.7,Lumpy Skin,No Treatment Required,0.0
Pediculosis,1,529.2,36,AFS,39.2,None,Antiparasitic + Monitoring,-9.5
Ringworm,2,511.3,50,AFS,40.2,FMD,Antifungal + Topical Care,-9.8
Ringworm,1,365.7,42,AFS,39.6,None,Topical Treatment + Monitoring,-8.9
Mastitis,1,540.4,21,AFS,39.4,None,Anti-inflammatory + Rest,-10.2
Pediculosis,1,501.8,76,AFS,39.6,None,Antiparasitic + Monitoring,-6.1
Pediculosis,2,489.4,50,AFS,40.6,Pediculosis,Antiparasitic + Monitoring,-11.2
Pediculosis,2,418.9,45,AFS,41.2,None,Antiparasitic + Monitoring,-12.6
Mastitis,1,381.5,92,AFS,39.6,Dermatophilosis,Anti-inflammatory + Rest,-11.8
Pediculosis,1,412.4,26,AFS,39.4,None,Antiparasitic + Monitoring,-6.4
Contagious,0,517.8,89,AFS,38.9,Ringworm,Antibiotics + Isolation,-8.2
Healthy,0,461.8,40,AFS,38.7,None,No Treatment Required,0.0
Contagious,1,435.9,80,AFS,39.6,Mastitis,Antibiotics + Isolation,-15.3
Ringworm,1,540.5,91,AFS,39.1,Mastitis,Topical Treatment + Monitoring,-9.4
Healthy,0,475.0,13,AFS,38.7,Contagious,No Treatment Required,0.0
Lumpy Skin,0,412.6,78,AFS,38.9,Ringworm,Topical Treatment + Monitoring,-4.5
Healthy,0,484.8,23,AFS,38.4,None,No Treatment Required,0.0
FMD,1,537.0,16,AFS,39.6,None,Antibiotics + Isolation,-16.7
FMD,0,366.8,30,AFS,38.8,None,Supportive Care Only,-6.2
Pediculosis,2,478.3,65,AFS,41.0,None,Antiparasitic + Monitoring,-10.9
Ringworm,1,370.3,40,AFS,39.3,Pediculosis,Topical Treatment + Monitoring,-6.3
Ringworm,0,453.7,28,AFS,38.6,None,Topical Treatment + Monitoring,-1.1
Contagious,1,490.9,52,AFS,39.2,None,Antibiotics + Isolation,-15.7
FMD,0,446.6,91,AFS,38.8,None,Supportive Care Only,-4.2
Dermatophilosis,1,365.4,40,AFS,39.7,None,Antibiotics + Isolation,-12.3
Healthy,0,469.8,95,AFS,38.3,None,No Treatment Required,0.0
Lumpy Skin,0,543.0,90,AFS,38.8,None,Topical Treatment + Monitoring,-4.3
Mastitis,0,404.2,13,AFS,38.9,Pediculosis,Anti-inflammatory + Rest,-7.6
Dermatophilosis,1,392.6,62,AFS,39.7,None,Antibiotics + Isolation,-11.6
Dermatophilosis,0,360.1,76,AFS,38.5,None,Topical Treatment + Monitoring,-6.0
Healthy,0,537.9,21,AFS,38.5,Lumpy Skin,No Treatment Required,0.0
Dermatophilosis,1,392.9,49,AFS,39.1,None,Antibiotics + Isolation,-12.3
FMD,2,366.9,36,AFS,40.5,None,Antiviral + Quarantine,-25.3
Contagious,1,549.3,28,AFS,39.4,Contagious,Antibiotics + Isolation,-13.2
Lumpy Skin,0,389.9,34,AFS,38.5,Pediculosis,Topical Treatment + Monitoring,-6.9
Contagious,0,404.2,59,AFS,39.0,None,Antibiotics + Isolation,-8.3
Mastitis,1,484.6,93,AFS,39.3,None,Anti-inflammatory + Rest,-10.5
Pediculosis,2,536.5,88,AFS,41.1,None,Antiparasitic + Monitoring,-11.9
Pediculosis,1,454.3,62,AFS,39.6,None,Antiparasitic + Monitoring,-9.2
FMD,1,403.8,39,AFS,39.7,Mastitis,Antibiotics + Isolation,-16.9
FMD,1,476.0,71,AFS,39.7,None,Antibiotics + Isolation,-14.9
FMD,2,362.8,74,AFS,40.3,None,Antiviral + Quarantine,-26.9
Healthy,0,468.0,18,AFS,38.3,None,No Treatment Required,0.0
Healthy,0,392.0,12,AFS,38.7,None,No Treatment Required,0.0
Dermatophilosis,1,534.8,40,AFS,39.1,None,Antibiotics + Isolation,-11.3
Pediculosis,1,515.3,94,AFS,39.1,None,Antiparasitic + Monitoring,-8.8
Healthy,0,438.7,34,AFS,38.4,Dermatophilosis,No Treatment Required,0.0
Dermatophilosis,2,507.9,66,AFS,40.2,Lumpy Skin,Antibiotics + Isolation,-16.9
Mastitis,0,451.1,50,AFS,38.6,None,Anti-inflammatory + Rest,-4.4
Mastitis,1,450.6,33,AFS,39.4,FMD,Anti-inflammatory + Rest,-10.5
Healthy,0,521.8,78,AFS,38.5,None,No Treatment Required,0.0
Contagious,0,484.7,24,AFS,38.9,None,Antibiotics + Isolation,-8.0
Lumpy Skin,0,350.4,77,AFS,38.8,FMD,Topical Treatment + Monitoring,-5.8
Mastitis,0,353.8,43,AFS,38.9,None,Anti-inflammatory + Rest,-6.6
Healthy,0,466.4,45,AFS,38.6,None,No Treatment Required,0.0
Mastitis,0,398.7,30,AFS,38.7,Dermatophilosis,Anti-inflammatory + Rest,-5.7
FMD,1,433.2,73,AFS,39.7,Contagious,Antibiotics + Isolation,-15.4
Dermatophilosis,0,450.0,24,AFS,38.9,None,Topical Treatment + Monitoring,-4.9
Lumpy Skin,1,449.1,72,AFS,39.3,None,Antibiotics + Isolation,-14.2
Pediculosis,0,503.0,78,AFS,38.6,None,Antiparasitic + Monitoring,-4.3
Contagious,1,521.5,14,AFS,39.4,None,Antibiotics + Isolation,-13.2
Healthy,0,526.3,65,AFS,38.7,None,No Treatment Required,0.0
Contagious,1,524.8,52,AFS,39.4,None,Antibiotics + Isolation,-12.8
Mastitis,1,514.1,52,AFS,39.7,None,Anti-inflammatory + Rest,-13.7
Mastitis,1,353.1,59,AFS,39.2,None,Anti-inflammatory + Rest,-12.1
Pediculosis,1,543.6,68,AFS,39.8,None,Antiparasitic + Monitoring,-7.9
Mastitis,1,549.4,78,AFS,39.2,None,Anti-inflammatory + Rest,-12.5
FMD,1,424.9,71,AFS,39.6,Contagious,Antibiotics + Isolation,-14.2
FMD,0,516.3,60,AFS,38.7,None,Supportive Care Only,-6.6
Ringworm,1,363.3,19,AFS,39.3,None,Topical Treatment + Monitoring,-7.9
Mastitis,2,453.6,92,AFS,39.8,None,Antibiotics + Isolation,-19.1
FMD,0,389.0,17,AFS,38.9,Pediculosis,Supportive Care Only,-4.0
FMD,1,504.9,73,AFS,39.1,None,Antibiotics + Isolation,-14.1
Mastitis,0,467.7,68,AFS,38.6,None,Anti-inflammatory + Rest,-6.3
Healthy,0,494.9,22,AFS,38.4,None,No Treatment Required,0.0
Dermatophilosis,0,438.8,34,AFS,38.8,FMD,Topical Treatment + Monitoring,-5.9
Mastitis,1,477.4,78,AFS,39.5,None,Anti-inflammatory + Rest,-12.9
Healthy,0,442.6,24,AFS,38.6,Lumpy Skin,No Treatment Required,0.0
Dermatophilosis,1,513.0,15,AFS,39.4,Ringworm,Antibiotics + Isolation,-10.9
Dermatophilosis,1,423.7,39,AFS,39.2,None,Antibiotics + Isolation,-12.9
Lumpy Skin,2,398.7,16,AFS,40.9,Mastitis,Antiviral + Quarantine,-21.9
Contagious,2,527.6,40,AFS,40.5,Contagious,Antibiotics + Isolation,-23.6
Ringworm,0,465.3,49,AFS,38.5,Ringworm,Topical Treatment + Monitoring,-3.7
Pediculosis,2,484.9,78,AFS,41.5,None,Antiparasitic + Monitoring,-13.8
Lumpy Skin,0,542.2,86,AFS,38.7,FMD,Topical Treatment + Monitoring,-4.7
Pediculosis,0,412.4,49,AFS,38.5,Pediculosis,Antiparasitic + Monitoring,-3.2
Healthy,0,357.8,90,AFS,38.6,None,No Treatment Required,0.0
FMD,1,522.9,21,AFS,39.3,None,Antibiotics + Isolation,-14.4
FMD,1,491.5,54,AFS,39.5,None,Antibiotics + Isolation,-13.5
FMD,2,418.4,80,AFS,40.9,None,Antiviral + Quarantine,-25.2
Dermatophilosis,1,510.9,95,AFS,39.8,None,Antibiotics + Isolation,-10.2
Lumpy Skin,1,485.5,93,AFS,39.1,Pediculosis,Antibiotics + Isolation,-14.5
Pediculosis,1,489.4,65,AFS,39.2,None,Antiparasitic + Monitoring,-7.5
Healthy,0,432.8,87,AFS,38.3,None,No Treatment Required,0.0
Contagious,2,383.9,31,AFS,41.0,None,Antibiotics + Isolation,-23.3
Pediculosis,2,510.6,49,AFS,40.7,None,Antiparasitic + Monitoring,-12.4
Lumpy Skin,1,516.8,77,AFS,39.7,None,Antibiotics + Isolation,-14.6
Ringworm,1,490.5,40,AFS,39.3,None,Topical Treatment + Monitoring,-7.6
Healthy,0,399.3,57,AFS,38.6,None,No Treatment Required,0.0
Lumpy Skin,2,486.7,38,AFS,41.1,None,Antiviral + Quarantine,-21.8
FMD,0,393.2,92,AFS,38.8,Ringworm,Supportive Care Only,-5.1
Pediculosis,1,375.6,64,AFS,39.8,Lumpy Skin,Antiparasitic + Monitoring,-6.6
Mastitis,0,460.4,61,AFS,38.7,None,Anti-inflammatory + Rest,-6.1
Dermatophilosis,0,370.2,63,AFS,38.7,None,Topical Treatment + Monitoring,-3.1
Contagious,2,437.9,67,AFS,40.1,None,Antibiotics + Isolation,-21.5
Lumpy Skin,0,375.9,50,AFS,38.7,None,Topical Treatment + Monitoring,-5.8
Healthy,0,392.1,15,AFS,38.4,None,No Treatment Required,0.0
Pediculosis,2,404.3,33,AFS,40.6,None,Antiparasitic + Monitoring,-11.7
Ringworm,0,445.7,21,AFS,38.8,None,Topical Treatment + Monitoring,-2.5
Ringworm,0,525.1,76,AFS,38.7,None,Topical Treatment + Monitoring,-1.7
Dermatophilosis,0,422.8,33,AFS,38.9,None,Topical Treatment + Monitoring,-4.3
Ringworm,1,389.8,90,AFS,39.4,Lumpy Skin,Topical Treatment + Monitoring,-6.0
Contagious,2,353.2,93,AFS,40.6,Contagious,Antibiotics + Isolation,-21.8
Mastitis,2,422.3,59,AFS,40.5,None,Antibiotics + Isolation,-20.2
Contagious,1,530.7,92,AFS,39.7,None,Antibiotics + Isolation,-13.1
Healthy,0,447.9,65,AFS,38.4,None,No Treatment Required,0.0
Contagious,1,405.9,74,AFS,39.5,None,Antibiotics + Isolation,-14.9
Healthy,0,448.2,91,AFS,38.4,Pediculosis,No Treatment Required,0.0
Ringworm,1,424.2,17,AFS,39.3,FMD,Topical Treatment + Monitoring,-8.5
FMD,0,495.9,80,AFS,38.6,Contagious,Supportive Care Only,-6.1
Mastitis,1,454.4,33,AFS,39.6,None,Anti-inflammatory + Rest,-11.6
Contagious,1,500.1,65,AFS,39.2,None,Antibiotics + Isolation,-15.2
Ringworm,1,534.1,34,AFS,39.2,None,Topical Treatment + Monitoring,-9.0
FMD,1,351.3,39,AFS,39.6,None,Antibiotics + Isolation,-15.1
Dermatophilosis,1,490.8,24,AFS,39.6,None,Antibiotics + Isolation,-10.7
Lumpy Skin,1,502.6,66,AFS,39.5,None,Antibiotics + Isolation,-14.3
Healthy,0,452.0,64,AFS,38.3,None,No Treatment Required,0.0
Contagious,2,535.7,12,AFS,41.2,FMD,Antibiotics + Isolation,-23.1
Ringworm,0,494.9,89,AFS,39.0,None,Topical Treatment + Monitoring,-1.3
Healthy,0,426.0,53,AFS,38.5,FMD,No Treatment Required,0.0
FMD,1,392.2,51,AFS,39.7,None,Antibiotics + Isolation,-16.7
Lumpy Skin,1,436.2,83,AFS,39.6,None,Antibiotics + Isolation,-15.6
Contagious,0,408.8,94,AFS,38.8,None,Antibiotics + Isolation,-7.4
Ringworm,0,519.6,48,AFS,38.9,Dermatophilosis,Topical Treatment + Monitoring,-3.9
FMD,0,441.1,69,AFS,38.9,Dermatophilosis,Supportive Care Only,-4.5
Mastitis,1,405.6,67,AFS,39.4,None,Anti-inflammatory + Rest,-12.6
Ringworm,1,547.0,91,AFS,39.4,None,Topical Treatment + Monitoring,-9.3
Pediculosis,0,469.0,25,AFS,38.7,Pediculosis,Antiparasitic + Monitoring,-5.2
Ringworm,1,482.4,37,AFS,39.5,None,Topical Treatment + Monitoring,-9.3
Ringworm,2,501.4,91,AFS,41.1,None,Antifungal + Topical Care,-8.5
Healthy,0,432.2,45,AFS,38.7,None,No Treatment Required,0.0
Healthy,0,531.8,59,AFS,38.6,None,No Treatment Required,0.0
Contagious,1,538.0,32,AFS,39.3,Lumpy Skin,Antibiotics + Isolation,-15.5
Mastitis,1,373.4,26,AFS,39.8,None,Anti-inflammatory + Rest,-11.1
Contagious,0,373.3,16,AFS,38.7,None,Antibiotics + Isolation,-9.1
Pediculosis,1,536.3,34,AFS,39.6,None,Antiparasitic + Monitoring,-7.8
Healthy,0,352.2,86,AFS,38.7,None,No Treatment Required,0.0
Lumpy Skin,0,422.3,70,AFS,39.0,None,Topical Treatment + Monitoring,-6.7
Ringworm,1,489.9,62,AFS,39.5,None,Topical Treatment + Monitoring,-9.6
Dermatophilosis,1,499.6,75,AFS,39.8,Lumpy Skin,Antibiotics + Isolation,-10.1
Contagious,0,506.4,67,AFS,38.7,None,Antibiotics + Isolation,-9.8
Healthy,0,454.7,33,AFS,38.4,None,No Treatment Required,0.0
Contagious,0,487.8,53,AFS,38.9,Lumpy Skin,Antibiotics + Isolation,-8.1
Lumpy Skin,1,381.7,28,AFS,39.3,None,Antibiotics + Isolation,-16.7
Contagious,0,532.6,46,AFS,38.6,None,Antibiotics + Isolation,-6.8
Mastitis,1,506.3,42,AFS,39.2,Pediculosis,Anti-inflammatory + Rest,-13.5
Mastitis,0,434.2,45,AFS,38.5,None,Anti-inflammatory + Rest,-6.4
Mastitis,1,473.8,15,AFS,39.4,Dermatophilosis,Anti-inflammatory + Rest,-13.7
Ringworm,0,452.5,74,AFS,39.0,Contagious,Topical Treatment + Monitoring,-4.7
FMD,0,486.3,59,AFS,38.5,None,Supportive Care Only,-5.2
Pediculosis,0,371.2,43,AFS,38.9,None,Antiparasitic + Monitoring,-3.8
Lumpy Skin,0,429.1,79,AFS,38.8,None,Topical Treatment + Monitoring,-3.4
Healthy,0,433.8,39,AFS,38.6,Dermatophilosis,No Treatment Required,0.0
