Age_Months,Weight_kg,Breed,Milk_Yield_L_per_day,Health_Status,Disease,Body_Condition_Score,Location,Dry_Matter_Intake_kg_per_day,Energy_MJ_per_day,Crude_Protein_g_per_day,Calcium_g_per_day,Phosphorus_g_per_day,Recommended_Feed_Type
59,467,Friesian,11.8,Healthy,None,3.0,Puttalam,12.86,142.7,1119.0,82.8,46.4,Grass
55,469,Friesian,16.2,Healthy,None,1.9,Matale,13.35,147.2,1209.0,67.7,50.5,Mixed
49,445,Friesian,9.0,Severe,Foot Rot,3.1,Anuradhapura,12.03,132.5,1112.0,67.3,35.5,Grass
91,262,Local,18.0,Mild,Lumpy Skin Disease,2.8,Monaragala,8.35,91.7,804.0,48.3,27.3,Mixed
98,292,Friesian,2.6,Healthy,None,3.3,Puttalam,7.56,81.4,785.0,43.0,22.1,Grass
96,492,Jersey,8.8,Healthy,None,2.4,Kurunegala,13.18,146.8,1229.0,78.8,52.3,Grass
59,539,Local,8.9,Mild,Lumpy Skin Disease,2.9,Polonnaruwa,14.37,163.8,1438.0,87.5,51.2,Grass
101,370,Ayrshire,9.0,Healthy,None,1.9,Kurunegala,10.15,112.9,975.0,60.7,38.8,Grass
72,289,Local,16.5,Healthy,None,3.6,Monaragala,8.88,93.4,847.0,42.1,27.3,Mixed
32,269,Local,15.3,Healthy,None,2.4,Puttalam,8.26,93.5,789.0,39.5,33.2,Mixed
69,254,Ayrshire,11.0,Healthy,None,3.0,Polonnaruwa,7.45,87.9,741.0,46.6,23.7,Grass
96,440,Jersey,15.0,Healthy,None,3.3,Matale,12.5,139.8,1114.0,71.6,47.5,Grass
95,378,Local,8.3,Healthy,None,3.0,Anuradhapura,10.28,120.5,1064.0,61.1,41.1,Grass
39,518,Local,14.3,Healthy,None,3.7,Polonnaruwa,14.38,158.8,1266.0,66.6,59.9,Grass
107,346,Jersey,15.5,Mild,Foot Rot,3.4,Kurunegala,10.2,113.2,886.0,58.6,37.0,Mixed
62,575,Jersey,12.4,Healthy,None,3.7,Puttalam,15.62,164.3,1388.0,79.2,63.7,Grass
92,406,Ayrshire,14.0,Healthy,None,2.6,Kurunegala,11.55,127.3,1041.0,64.5,43.0,Grass
93,328,Friesian,19.0,Mild,Lumpy Skin Disease,3.3,Badulla,10.1,108.4,972.0,48.0,35.7,Mixed
116,446,Ayrshire,9.8,Healthy,None,2.8,Matale,12.13,140.8,1178.0,78.0,46.5,Grass
103,492,Jersey,13.5,Healthy,None,3.2,Anuradhapura,13.65,157.2,1430.0,63.9,53.6,Grass
36,334,Local,13.0,Mild,Lumpy Skin Disease,3.2,Puttalam,9.65,102.3,1007.0,46.1,37.9,Grass
103,491,Ayrshire,20.5,Healthy,None,3.5,Badulla,14.33,164.6,1287.0,75.8,55.7,Mixed
78,431,Ayrshire,13.0,Mild,Lumpy Skin Disease,3.5,Badulla,12.08,135.2,1240.0,74.7,50.0,Grass
53,323,Local,6.8,Healthy,None,3.2,Puttalam,8.76,97.6,883.0,51.4,31.4,Grass
101,428,Jersey,21.0,Healthy,None,2.9,Anuradhapura,12.8,140.5,1207.0,74.8,48.9,Mixed
96,536,Jersey,7.8,Healthy,None,2.7,Matale,14.18,152.2,1417.0,64.1,48.5,Grass
42,252,Ayrshire,6.6,Healthy,None,2.6,Polonnaruwa,6.96,81.3,719.0,38.3,19.6,Grass
22,581,Ayrshire,10.1,Healthy,None,2.3,Kurunegala,15.54,171.2,1630.0,91.8,49.5,Grass
91,265,Local,12.1,Severe,Foot Rot,3.5,Matale,7.83,86.8,693.0,47.0,29.0,Grass
31,269,Ayrshire,7.5,Healthy,None,3.8,Anuradhapura,7.48,87.2,659.0,44.7,30.1,Grass
28,464,Friesian,14.6,Healthy,None,3.5,Monaragala,13.06,148.0,1126.0,61.3,46.5,Grass
42,585,Friesian,8.7,Healthy,None,3.4,Matale,15.49,176.2,1595.0,97.5,47.0,Grass
110,437,Friesian,6.5,Severe,Lumpy Skin Disease,3.4,Monaragala,11.58,127.9,1139.0,53.5,35.6,Grass
82,325,Ayrshire,12.9,Healthy,None,3.3,Anuradhapura,9.41,104.2,852.0,46.1,33.0,Grass
99,251,Ayrshire,6.1,Healthy,None,2.6,Matale,6.89,75.5,633.0,38.8,26.0,Grass
77,295,Friesian,15.0,Severe,Mastitis,2.5,Monaragala,8.88,101.7,788.0,50.5,36.9,Grass
39,255,Jersey,14.3,Healthy,None,2.3,Badulla,7.8,86.6,800.0,49.8,25.2,Grass
100,347,Jersey,16.2,Healthy,None,2.4,Puttalam,10.3,113.2,935.0,52.1,37.0,Mixed
46,346,Ayrshire,14.8,Mild,Mastitis,3.3,Polonnaruwa,10.13,119.3,914.0,54.5,29.7,Grass
92,436,Ayrshire,8.5,Mild,Foot Rot,3.3,Monaragala,11.75,130.2,1147.0,72.4,33.5,Grass
92,447,Jersey,13.3,Healthy,None,2.7,Monaragala,12.51,134.8,1239.0,65.0,49.2,Grass
54,356,Ayrshire,7.0,Mild,Foot Rot,2.0,Anuradhapura,9.6,107.7,959.0,48.4,33.8,Grass
51,361,Local,13.7,Healthy,None,2.2,Puttalam,10.39,121.5,991.0,59.9,36.0,Grass
93,415,Ayrshire,12.5,Healthy,None,2.9,Polonnaruwa,11.62,132.0,1197.0,59.8,34.2,Grass
19,331,Local,15.4,Healthy,None,2.8,Anuradhapura,9.82,107.4,1012.0,47.9,32.4,Mixed
77,529,Jersey,10.4,Mild,Lumpy Skin Disease,3.4,Puttalam,14.27,164.8,1343.0,80.7,48.6,Grass
78,374,Ayrshire,13.7,Mild,Foot Rot,3.2,Anuradhapura,10.72,117.3,1057.0,54.7,44.6,Grass
115,509,Friesian,14.3,Healthy,None,2.2,Matale,14.16,162.9,1474.0,75.1,40.2,Grass
39,403,Jersey,15.8,Severe,Foot Rot,3.3,Kurunegala,11.66,133.8,1021.0,60.2,48.3,Mixed
57,322,Ayrshire,6.9,Healthy,None,2.9,Polonnaruwa,8.74,93.6,743.0,41.9,35.3,Grass
57,291,Jersey,11.8,Healthy,None,2.9,Monaragala,8.46,91.1,734.0,42.2,31.8,Grass
117,441,Friesian,13.7,Healthy,None,3.7,Puttalam,12.39,135.6,1170.0,72.8,46.8,Grass
103,442,Local,17.4,Mild,Mastitis,2.3,Polonnaruwa,12.79,140.7,1169.0,81.5,43.0,Mixed
54,595,Local,15.1,Healthy,None,3.7,Kurunegala,16.39,183.5,1507.0,95.7,68.2,Mixed
46,561,Jersey,13.9,Mild,Lumpy Skin Disease,3.5,Puttalam,15.42,169.2,1465.0,69.4,56.1,Grass
27,580,Jersey,22.1,Healthy,None,3.5,Badulla,16.71,179.5,1491.0,89.7,54.7,Concentrate
41,467,Jersey,13.2,Healthy,None,3.5,Puttalam,13.0,143.0,1319.0,59.4,53.8,Grass
40,333,Local,12.7,Mild,Mastitis,3.0,Monaragala,9.6,106.6,832.0,56.4,28.2,Grass
69,256,Jersey,10.2,Healthy,None,3.8,Badulla,7.42,83.5,688.0,40.1,25.8,Grass
69,466,Friesian,7.9,Healthy,None,3.8,Puttalam,12.44,134.8,1215.0,71.0,48.8,Grass
82,440,Local,14.5,Mild,Foot Rot,2.3,Monaragala,12.45,146.5,1086.0,60.5,42.3,Grass
67,595,Friesian,13.8,Healthy,None,1.9,Monaragala,16.25,177.7,1685.0,92.3,50.0,Grass
96,482,Local,15.1,Healthy,None,3.4,Matale,13.56,147.3,1186.0,74.3,44.9,Mixed
105,439,Ayrshire,9.0,Healthy,None,3.1,Polonnaruwa,11.88,135.2,1192.0,54.0,37.7,Grass
63,463,Friesian,21.8,Healthy,None,2.7,Matale,13.76,149.8,1179.0,65.0,52.6,Mixed
112,452,Jersey,6.7,Healthy,None,3.7,Polonnaruwa,11.97,134.0,1048.0,57.3,41.8,Grass
62,484,Jersey,21.8,Severe,Foot Rot,3.0,Kurunegala,14.28,165.2,1376.0,65.4,46.5,Mixed
36,561,Friesian,17.1,Healthy,None,3.7,Puttalam,15.74,185.3,1363.0,100.0,60.6,Mixed
69,261,Jersey,8.3,Severe,Lumpy Skin Disease,2.8,Kurunegala,7.36,84.2,735.0,34.3,30.0,Grass
119,348,Ayrshire,18.2,Severe,Foot Rot,3.8,Polonnaruwa,10.52,117.5,1074.0,52.5,41.2,Mixed
91,492,Jersey,14.8,Mild,Lumpy Skin Disease,2.6,Kurunegala,13.78,149.6,1361.0,67.1,48.3,Grass
95,454,Jersey,21.9,Mild,Lumpy Skin Disease,2.7,Polonnaruwa,13.54,142.3,1207.0,82.1,50.4,Mixed
52,486,Ayrshire,10.3,Healthy,None,3.2,Badulla,13.18,142.2,1307.0,65.1,48.2,Grass
109,561,Local,19.8,Healthy,None,3.4,Kurunegala,16.0,181.2,1465.0,84.4,65.6,Mixed
61,424,Ayrshire,14.1,Healthy,None,3.2,Badulla,12.01,133.0,1132.0,71.9,37.2,Grass
39,594,Local,12.2,Healthy,None,3.3,Matale,16.07,169.4,1640.0,103.4,59.2,Grass
62,292,Jersey,0.0,Mild,Foot Rot,2.9,Kurunegala,7.3,80.2,663.0,37.5,27.3,Grass
37,569,Jersey,13.2,Healthy,None,2.4,Polonnaruwa,15.55,174.7,1451.0,93.8,59.9,Grass
89,501,Jersey,13.9,Healthy,None,2.9,Puttalam,13.92,155.9,1289.0,89.1,41.4,Grass
45,358,Friesian,20.8,Healthy,None,3.8,Puttalam,11.03,118.4,973.0,66.8,42.2,Mixed
88,459,Ayrshire,9.7,Mild,Lumpy Skin Disease,2.9,Badulla,12.45,145.3,1128.0,75.2,45.8,Grass
105,574,Ayrshire,11.6,Healthy,None,2.8,Polonnaruwa,15.51,173.6,1388.0,82.3,59.9,Grass
75,330,Jersey,13.0,Healthy,None,2.6,Badulla,9.55,100.3,970.0,57.5,35.5,Grass
30,446,Local,6.3,Severe,Lumpy Skin Disease,3.3,Matale,11.78,126.6,1008.0,58.3,43.0,Grass
28,556,Local,15.1,Severe,Lumpy Skin Disease,2.6,Polonnaruwa,15.41,174.0,1361.0,88.6,57.9,Mixed
20,557,Local,16.5,Healthy,None,2.7,Monaragala,15.58,181.1,1589.0,75.1,51.7,Mixed
48,339,Local,13.3,Severe,Mastitis,3.4,Puttalam,9.8,107.0,890.0,61.6,30.3,Grass
76,375,Local,11.8,Severe,Mastitis,3.2,Polonnaruwa,10.55,124.1,1002.0,49.8,38.5,Grass
38,375,Local,9.4,Mild,Mastitis,2.9,Puttalam,10.31,108.3,883.0,60.4,41.4,Grass
67,286,Local,11.0,Severe,Foot Rot,2.6,Badulla,8.25,92.4,819.0,47.1,34.5,Grass
21,474,Local,11.1,Mild,Mastitis,2.2,Polonnaruwa,12.96,141.0,1205.0,79.6,50.2,Grass
69,511,Local,9.5,Healthy,None,2.9,Monaragala,13.72,146.3,1206.0,68.9,54.3,Grass
119,307,Jersey,10.7,Healthy,None,2.9,Polonnaruwa,8.75,99.3,769.0,43.6,30.4,Grass
30,418,Friesian,11.7,Healthy,None,3.2,Badulla,11.62,132.7,1163.0,69.9,38.1,Grass
74,419,Local,16.4,Mild,Foot Rot,2.7,Kurunegala,12.12,131.6,1039.0,57.9,42.8,Mixed
46,439,Ayrshire,6.0,Mild,Lumpy Skin Disease,2.5,Puttalam,11.58,135.8,1021.0,66.8,40.1,Grass
104,400,Jersey,9.6,Mild,Foot Rot,2.8,Anuradhapura,10.96,116.9,1065.0,68.2,34.6,Grass
21,358,Ayrshire,8.2,Healthy,None,2.4,Matale,9.77,102.7,902.0,53.9,39.3,Grass
69,494,Jersey,9.7,Severe,Foot Rot,3.1,Monaragala,13.32,142.6,1359.0,68.3,44.3,Grass
80,581,Jersey,15.0,Mild,Lumpy Skin Disease,2.7,Polonnaruwa,16.02,171.9,1649.0,72.5,66.1,Grass
46,408,Jersey,9.9,Healthy,None,2.5,Polonnaruwa,11.19,121.5,1125.0,68.0,41.5,Grass
81,485,Friesian,11.8,Mild,Foot Rot,2.6,Badulla,13.3,155.2,1328.0,69.5,37.9,Grass
30,418,Friesian,14.9,Healthy,None,2.1,Monaragala,11.94,140.3,1217.0,66.6,34.8,Grass
25,478,Jersey,10.2,Healthy,None,3.2,Anuradhapura,12.97,149.6,1150.0,82.7,51.9,Grass
106,483,Jersey,12.9,Healthy,None,4.3,Monaragala,13.37,151.0,1284.0,62.6,41.0,Grass
26,317,Ayrshire,13.7,Healthy,None,2.5,Matale,9.3,100.4,899.0,52.7,32.1,Grass
118,276,Ayrshire,11.5,Mild,Mastitis,2.1,Matale,8.05,86.6,703.0,37.6,24.8,Grass
93,360,Local,11.6,Healthy,None,2.6,Puttalam,10.16,106.8,951.0,64.1,38.7,Grass
117,579,Jersey,16.6,Healthy,None,2.7,Puttalam,16.14,182.8,1616.0,104.7,50.9,Mixed
94,388,Local,11.4,Healthy,None,2.7,Polonnaruwa,10.84,118.5,1026.0,54.9,40.1,Grass
86,377,Ayrshire,20.7,Healthy,None,2.8,Anuradhapura,11.5,129.1,1049.0,61.9,47.9,Mixed
80,253,Ayrshire,21.2,Mild,Foot Rot,3.4,Polonnaruwa,8.45,93.9,746.0,39.1,28.8,Mixed
30,476,Ayrshire,14.4,Healthy,None,3.2,Anuradhapura,13.34,149.4,1183.0,80.8,51.6,Grass
57,506,Ayrshire,14.0,Healthy,None,2.0,Matale,14.05,157.2,1223.0,71.7,51.3,Grass
104,329,Ayrshire,10.6,Healthy,None,3.4,Anuradhapura,9.29,106.8,936.0,57.6,33.9,Grass
59,514,Local,11.8,Mild,Lumpy Skin Disease,2.3,Monaragala,14.03,161.5,1268.0,89.3,48.6,Grass
56,439,Jersey,11.7,Healthy,None,3.9,Matale,12.15,139.1,1234.0,62.3,39.3,Grass
68,463,Friesian,18.2,Mild,Lumpy Skin Disease,3.0,Puttalam,13.4,141.7,1249.0,77.6,40.1,Mixed
116,390,Friesian,16.8,Mild,Mastitis,2.8,Polonnaruwa,11.43,123.1,1135.0,58.2,38.0,Mixed
72,445,Ayrshire,3.5,Healthy,None,2.5,Polonnaruwa,11.47,131.5,1158.0,65.8,39.2,Grass
31,288,Jersey,19.8,Healthy,None,2.9,Kurunegala,9.18,105.0,953.0,52.2,37.9,Mixed
117,587,Local,10.8,Mild,Foot Rot,2.9,Kurunegala,15.76,175.5,1428.0,90.0,52.4,Grass
25,577,Ayrshire,21.5,Healthy,None,3.8,Badulla,16.57,181.9,1715.0,78.2,49.5,Mixed
27,416,Local,23.1,Mild,Mastitis,2.9,Polonnaruwa,12.71,143.2,1226.0,71.5,43.4,Concentrate
91,529,Ayrshire,13.5,Healthy,None,2.2,Monaragala,14.58,168.6,1440.0,69.7,56.5,Grass
118,410,Ayrshire,19.4,Severe,Lumpy Skin Disease,2.4,Polonnaruwa,12.19,139.8,1089.0,62.7,38.0,Mixed
60,351,Ayrshire,13.1,Healthy,None,2.5,Puttalam,10.09,115.8,862.0,47.8,34.1,Grass
80,274,Friesian,9.1,Severe,Foot Rot,2.6,Monaragala,7.76,85.2,747.0,50.4,32.2,Grass
120,417,Local,9.0,Healthy,None,2.7,Matale,11.33,123.9,978.0,52.7,33.2,Grass
117,307,Jersey,9.3,Mild,Mastitis,3.4,Kurunegala,8.61,96.8,813.0,49.9,26.4,Grass
116,600,Local,6.5,Mild,Lumpy Skin Disease,3.1,Kurunegala,15.65,173.5,1606.0,93.6,58.1,Grass
41,581,Ayrshire,18.1,Healthy,None,2.7,Puttalam,16.34,188.2,1631.0,104.5,66.1,Mixed
91,400,Friesian,8.4,Healthy,None,2.9,Monaragala,10.84,119.3,923.0,55.8,32.6,Grass
46,549,Ayrshire,17.9,Healthy,None,3.1,Badulla,15.52,176.1,1381.0,95.3,63.6,Mixed
91,328,Jersey,9.3,Mild,Mastitis,3.2,Kurunegala,9.13,99.5,794.0,50.8,37.6,Grass
117,315,Ayrshire,6.5,Severe,Lumpy Skin Disease,3.3,Anuradhapura,8.53,99.2,883.0,49.6,26.3,Grass
72,388,Jersey,14.0,Severe,Mastitis,2.8,Kurunegala,11.1,127.7,950.0,69.4,45.8,Grass
66,263,Local,7.8,Mild,Foot Rot,2.6,Monaragala,7.36,79.3,633.0,39.6,22.7,Grass
66,552,Friesian,14.7,Healthy,None,3.6,Monaragala,15.27,163.8,1577.0,90.8,45.4,Grass
44,311,Local,8.8,Mild,Lumpy Skin Disease,3.2,Monaragala,8.66,99.4,791.0,42.3,36.2,Grass
82,434,Local,1.6,Healthy,None,2.7,Puttalam,11.01,117.2,1036.0,49.7,43.2,Grass
30,431,Ayrshire,11.8,Severe,Mastitis,2.5,Kurunegala,11.96,132.3,1219.0,61.0,50.2,Grass
101,579,Local,7.3,Mild,Mastitis,2.7,Anuradhapura,15.21,178.5,1376.0,88.1,49.5,Grass
49,340,Friesian,13.5,Healthy,None,2.9,Monaragala,9.85,105.4,974.0,59.3,28.4,Grass
44,588,Ayrshire,0.8,Healthy,None,1.9,Anuradhapura,14.78,163.2,1303.0,71.6,60.8,Grass
112,592,Jersey,9.0,Healthy,None,3.2,Puttalam,15.7,183.7,1581.0,71.6,48.4,Grass
98,441,Ayrshire,0.0,Healthy,None,2.8,Badulla,11.03,116.2,943.0,50.3,38.1,Grass
36,458,Friesian,9.4,Healthy,None,3.7,Polonnaruwa,12.39,142.4,1232.0,60.0,36.4,Grass
46,297,Local,10.1,Severe,Mastitis,3.2,Puttalam,8.44,99.2,796.0,45.0,34.2,Grass
35,558,Friesian,12.7,Healthy,None,1.9,Polonnaruwa,15.22,169.1,1569.0,72.4,56.6,Grass
96,592,Friesian,15.8,Healthy,None,3.1,Anuradhapura,16.38,187.9,1671.0,80.1,50.9,Mixed
36,365,Friesian,14.5,Mild,Foot Rot,4.5,Anuradhapura,10.57,116.5,1086.0,49.8,32.9,Grass
111,587,Ayrshire,1.6,Healthy,None,3.9,Polonnaruwa,14.84,174.6,1460.0,82.2,53.5,Grass
115,317,Ayrshire,10.6,Healthy,None,3.1,Monaragala,8.99,102.1,868.0,57.3,25.6,Grass
67,573,Friesian,11.8,Mild,Mastitis,2.8,Puttalam,15.51,163.1,1515.0,95.7,48.6,Grass
59,255,Local,9.2,Healthy,None,3.2,Puttalam,7.29,79.8,711.0,44.7,26.3,Grass
45,482,Ayrshire,4.4,Healthy,None,3.4,Polonnaruwa,12.49,133.1,1131.0,75.4,51.1,Grass
41,380,Ayrshire,9.9,Mild,Lumpy Skin Disease,2.4,Monaragala,10.49,120.7,987.0,49.2,41.9,Grass
84,384,Friesian,9.7,Mild,Lumpy Skin Disease,3.6,Puttalam,10.57,119.8,1102.0,50.2,33.0,Grass
32,311,Ayrshire,9.3,Healthy,None,3.2,Monaragala,8.71,95.4,819.0,48.8,35.8,Grass
82,343,Local,8.3,Mild,Foot Rot,3.4,Badulla,9.41,101.2,958.0,46.5,26.6,Grass
113,431,Jersey,15.4,Healthy,None,3.9,Badulla,12.32,137.9,1059.0,68.6,43.8,Mixed
85,335,Ayrshire,11.1,Healthy,None,3.3,Monaragala,9.48,107.9,926.0,58.9,29.5,Grass
109,327,Local,12.5,Mild,Lumpy Skin Disease,3.6,Matale,9.43,99.6,984.0,50.0,31.5,Grass
71,493,Local,8.4,Healthy,None,3.4,Badulla,13.17,150.6,1198.0,61.2,49.9,Grass
57,356,Friesian,11.0,Healthy,None,3.0,Monaragala,10.0,110.3,879.0,61.4,38.7,Grass
49,450,Jersey,12.5,Healthy,None,3.1,Polonnaruwa,12.5,137.6,1111.0,77.1,36.2,Grass
35,455,Friesian,11.4,Mild,Foot Rot,3.1,Monaragala,12.52,146.8,1102.0,67.4,46.8,Grass
59,255,Friesian,19.9,Healthy,None,3.5,Puttalam,8.37,93.6,841.0,47.7,26.2,Mixed
56,313,Local,16.3,Healthy,None,2.8,Kurunegala,9.46,110.2,947.0,56.2,38.1,Mixed
66,380,Friesian,7.6,Healthy,None,3.5,Puttalam,10.26,113.4,907.0,60.7,41.2,Grass
115,399,Jersey,16.4,Healthy,None,3.7,Anuradhapura,11.62,123.3,1158.0,74.6,46.6,Mixed
103,503,Local,9.0,Healthy,None,2.9,Polonnaruwa,13.48,152.7,1379.0,68.2,51.4,Grass
50,577,Ayrshire,3.8,Healthy,None,2.8,Monaragala,14.81,171.6,1550.0,69.1,43.6,Grass
80,374,Local,17.0,Healthy,None,2.8,Puttalam,11.05,122.3,998.0,71.8,43.7,Mixed
89,560,Local,15.2,Healthy,None,2.9,Monaragala,15.52,180.5,1526.0,71.1,45.8,Mixed
119,579,Friesian,13.6,Healthy,None,2.4,Matale,15.84,168.7,1588.0,82.7,59.3,Grass
71,451,Friesian,12.4,Healthy,None,1.5,Puttalam,12.52,144.3,1278.0,70.7,44.2,Grass
98,471,Friesian,11.1,Healthy,None,2.2,Puttalam,12.88,138.3,1257.0,66.4,41.3,Grass
120,264,Local,18.0,Mild,Lumpy Skin Disease,3.4,Polonnaruwa,8.4,92.1,829.0,43.7,34.9,Mixed
75,274,Ayrshire,14.3,Healthy,None,3.8,Monaragala,8.28,97.6,747.0,50.4,25.6,Grass
88,581,Ayrshire,7.3,Mild,Lumpy Skin Disease,3.9,Polonnaruwa,15.26,175.7,1350.0,83.9,44.6,Grass
96,525,Jersey,16.7,Healthy,None,2.9,Matale,14.79,161.2,1528.0,69.2,49.8,Mixed
81,577,Jersey,17.7,Mild,Mastitis,2.4,Polonnaruwa,16.2,175.7,1606.0,84.3,63.6,Mixed
114,331,Jersey,7.9,Healthy,None,2.7,Matale,9.07,96.5,876.0,57.3,34.3,Grass
55,536,Jersey,9.4,Healthy,None,2.5,Badulla,14.34,163.5,1276.0,67.1,52.2,Grass
69,384,Jersey,18.1,Mild,Foot Rot,2.9,Badulla,11.41,125.1,1000.0,60.1,45.4,Mixed
120,400,Friesian,13.8,Healthy,None,2.7,Polonnaruwa,11.38,122.8,1155.0,56.8,34.3,Grass
21,503,Jersey,2.9,Mild,Mastitis,3.1,Kurunegala,12.87,139.2,1152.0,74.6,39.9,Grass
55,374,Friesian,2.4,Mild,Lumpy Skin Disease,3.0,Puttalam,9.59,111.1,895.0,53.7,34.5,Grass
41,515,Local,5.2,Healthy,None,4.0,Polonnaruwa,13.39,156.1,1400.0,80.3,50.7,Grass
120,384,Local,16.6,Healthy,None,3.1,Badulla,11.26,131.4,1168.0,57.9,37.2,Mixed
35,414,Jersey,18.3,Mild,Foot Rot,2.6,Puttalam,12.18,129.9,1274.0,73.9,42.8,Mixed
86,410,Friesian,14.7,Mild,Foot Rot,3.1,Monaragala,11.72,126.5,1078.0,69.2,48.8,Grass
46,488,Ayrshire,13.3,Healthy,None,3.6,Anuradhapura,13.53,143.0,1317.0,74.3,46.1,Grass
20,536,Local,15.7,Healthy,None,3.1,Badulla,14.97,158.3,1377.0,93.3,45.0,Mixed
63,283,Ayrshire,3.7,Healthy,None,2.5,Badulla,7.45,87.4,742.0,44.2,26.0,Grass
115,318,Local,11.4,Healthy,None,3.0,Matale,9.09,100.8,871.0,53.2,29.7,Grass
120,510,Local,6.3,Healthy,None,4.2,Matale,13.38,149.9,1320.0,68.6,37.6,Grass
24,433,Friesian,19.6,Mild,Mastitis,3.3,Anuradhapura,12.79,144.5,1223.0,76.2,48.9,Mixed
94,341,Jersey,12.4,Healthy,None,2.9,Puttalam,9.77,114.4,973.0,50.4,28.6,Grass
91,600,Local,7.2,Mild,Lumpy Skin Disease,3.0,Polonnaruwa,15.72,179.3,1380.0,81.5,46.1,Grass
40,470,Ayrshire,13.3,Healthy,None,2.4,Badulla,13.08,140.5,1217.0,64.8,54.7,Grass
28,423,Local,13.7,Mild,Foot Rot,2.9,Badulla,11.95,129.5,1226.0,55.2,42.8,Grass
65,298,Jersey,2.5,Healthy,None,2.6,Monaragala,7.7,90.7,656.0,39.7,24.9,Grass
90,538,Ayrshire,9.9,Mild,Mastitis,3.9,Polonnaruwa,14.44,155.2,1407.0,70.2,44.8,Grass
30,599,Jersey,14.8,Healthy,None,2.3,Anuradhapura,16.46,185.1,1693.0,97.3,66.4,Grass
82,326,Local,14.4,Healthy,None,2.2,Monaragala,9.59,101.2,918.0,61.5,39.5,Grass
57,399,Friesian,17.4,Healthy,None,2.8,Matale,11.72,125.8,1118.0,73.8,41.0,Mixed
37,563,Ayrshire,11.5,Severe,Foot Rot,3.7,Matale,15.23,170.8,1413.0,82.2,45.1,Grass
26,423,Jersey,5.6,Healthy,None,2.3,Polonnaruwa,11.14,120.4,1129.0,54.3,37.5,Grass
25,495,Friesian,9.1,Mild,Mastitis,3.5,Matale,13.29,151.0,1215.0,73.8,47.9,Grass
84,451,Jersey,4.4,Healthy,None,1.6,Puttalam,11.71,125.0,1174.0,59.6,43.1,Grass
73,443,Friesian,9.7,Healthy,None,3.3,Puttalam,12.05,134.2,1102.0,65.9,40.3,Grass
118,397,Friesian,18.0,Healthy,None,2.8,Matale,11.73,123.8,1219.0,60.0,42.5,Mixed
87,338,Ayrshire,9.9,Mild,Foot Rot,3.6,Matale,9.44,99.5,985.0,49.7,31.1,Grass
24,600,Local,2.7,Mild,Foot Rot,2.8,Anuradhapura,15.27,177.2,1453.0,89.5,43.7,Grass
30,484,Jersey,13.0,Mild,Foot Rot,3.2,Matale,13.4,146.3,1330.0,73.6,48.2,Grass
19,273,Local,9.5,Healthy,None,3.0,Monaragala,7.78,88.7,805.0,35.1,24.4,Grass
60,340,Local,0.0,Mild,Lumpy Skin Disease,2.7,Matale,8.5,99.4,791.0,40.9,30.9,Grass
103,382,Local,14.3,Mild,Foot Rot,2.5,Badulla,10.98,127.6,1071.0,53.9,44.3,Grass
52,459,Friesian,12.3,Healthy,None,3.2,Puttalam,12.71,140.3,1151.0,80.1,50.1,Grass
50,557,Friesian,10.3,Healthy,None,3.1,Anuradhapura,14.96,164.8,1480.0,80.8,55.8,Grass
27,576,Friesian,7.2,Healthy,None,2.9,Badulla,15.12,176.5,1433.0,73.6,49.3,Grass
50,598,Local,15.1,Healthy,None,3.1,Puttalam,16.46,179.0,1681.0,82.7,63.6,Mixed
43,294,Local,9.1,Healthy,None,3.1,Kurunegala,8.26,92.3,708.0,45.1,24.4,Grass
67,344,Friesian,15.6,Mild,Mastitis,2.0,Matale,10.16,109.9,989.0,54.6,30.5,Mixed
116,271,Jersey,17.8,Mild,Foot Rot,2.8,Polonnaruwa,8.55,93.3,824.0,54.7,28.0,Mixed
40,429,Local,14.1,Healthy,None,3.6,Kurunegala,12.14,137.6,1127.0,58.3,39.0,Grass
46,344,Jersey,5.1,Healthy,None,2.6,Matale,9.11,104.2,779.0,49.0,36.3,Grass
85,397,Jersey,10.6,Healthy,None,2.6,Matale,10.99,129.2,947.0,64.5,37.1,Grass
20,566,Jersey,20.7,Mild,Lumpy Skin Disease,2.6,Puttalam,16.22,178.1,1425.0,76.4,50.7,Mixed
18,538,Friesian,9.2,Mild,Foot Rot,3.1,Kurunegala,14.37,153.1,1286.0,82.7,51.6,Grass
20,582,Local,6.0,Severe,Foot Rot,2.8,Anuradhapura,15.15,166.7,1495.0,79.9,61.7,Grass
105,501,Ayrshire,13.6,Healthy,None,2.8,Matale,13.88,163.6,1306.0,88.0,41.8,Grass
64,364,Jersey,11.5,Healthy,None,2.7,Anuradhapura,10.25,117.4,1069.0,54.1,32.4,Grass
65,260,Local,4.4,Mild,Mastitis,3.2,Puttalam,6.94,73.3,647.0,43.4,27.7,Grass
34,570,Ayrshire,20.8,Healthy,None,3.0,Puttalam,16.33,180.1,1677.0,88.5,56.1,Mixed
77,436,Ayrshire,13.1,Healthy,None,3.3,Anuradhapura,12.21,134.5,1214.0,60.0,37.9,Grass
90,349,Ayrshire,5.7,Severe,Foot Rot,3.9,Puttalam,9.29,108.0,937.0,48.8,30.0,Grass
36,490,Friesian,13.0,Healthy,None,3.8,Puttalam,13.55,150.2,1397.0,86.9,54.4,Grass
